# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-F" "GFF" "-a" "GCF_000006945.2_ASM694v2_genomic.gff" "-o" "analysis_results/counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "analysis_results/aligned/ERR12322786_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analysis_results/aligned/ERR12322786_sorted.bam
STM1066	NC_003197.2	1157615	1157796	+	182	945
STM1067	NC_003197.2	1157896	1158479	-	584	1681
STM1068	NC_003197.2	1158483	1160243	-	1761	5730
STM1069	NC_003197.2	1160409	1160881	+	473	1634
STM1070	NC_003197.2	1160953	1162133	-	1181	3718
STM1071	NC_003197.2	1162362	1163017	-	656	2216
STM1072	NC_003197.2	1163078	1163693	+	616	1458
STM1073	NC_003197.2	1163680	1165833	-	2154	6465
STM1074	NC_003197.2	1165852	1166318	-	467	1258
STM1075	NC_003197.2	1166406	1168476	+	2071	6072
STM1076	NC_003197.2	1168512	1168983	-	472	1296
STM1077	NC_003197.2	1169065	1169739	-	675	2133
STM1078	NC_003197.2	1169888	1170314	+	427	1411
STM1079	NC_003197.2	1170359	1170685	-	327	845
STM1080	NC_003197.2	1170734	1171958	-	1225	3736
STM1081	NC_003197.2	1172149	1172708	+	560	1703
STM1082	NC_003197.2	1172728	1173513	+	786	1961
STM1083	NC_003197.2	1173549	1173843	+	295	456
STM1084	NC_003197.2	1173840	1174179	-	340	921
STM1085	NC_003197.2	1174256	1174915	-	660	1987
STM1086	NC_003197.2	1175309	1175393	+	85	637
STM1087	NC_003197.2	1175536	1176224	-	689	1498
STM1088	NC_003197.2	1176438	1177320	-	883	2901
STM1089	NC_003197.2	1177531	1177851	+	321	1543
STM1090	NC_003197.2	1177861	1178208	-	348	653
STM1091	NC_003197.2	1178219	1179912	-	1694	5069
STM1092	NC_003197.2	1180229	1180406	+	178	526
STM1093	NC_003197.2	1180407	1180524	-	118	185
STM1094	NC_003197.2	1180626	1182100	-	1475	4533
STM1095	NC_003197.2	1182268	1183651	-	1384	4119
STM1096	NC_003197.2	1183625	1184377	-	753	1909
STM1097	NC_003197.2	1184429	1184851	+	423	1275
STM1098	NC_003197.2	1185184	1185708	-	525	1534
STM1099	NC_003197.2	1185714	1187283	-	1570	4863
STM1100	NC_003197.2	1187494	1187938	-	445	1820
STM1101	NC_003197.2	1188201	1189498	+	1298	3882
STM1102	NC_003197.2	1189481	1190961	+	1481	4387
STM1103	NC_003197.2	1190958	1191814	+	857	2254
STM1104	NC_003197.2	1191818	1192204	+	387	1078
STM1105	NC_003197.2	1192336	1193150	+	815	2497
STM1106	NC_003197.2	1193154	1193952	+	799	2414
STM1107	NC_003197.2	1194017	1195400	+	1384	4052
STM1108	NC_003197.2	1195402	1196306	+	905	2301
STM1109	NC_003197.2	1196316	1197258	+	943	2791
STM1110	NC_003197.2	1197666	1198040	-	375	1552
STM1111	NC_003197.2	1198682	1199002	-	321	1050
STM1112	NC_003197.2	1198987	1199999	-	1013	2927
STM1113	NC_003197.2	1200137	1200504	+	368	1409
STM1114	NC_003197.2	1200547	1202439	+	1893	5411
STM1115	NC_003197.2	1202429	1203059	+	631	1340
STM1116	NC_003197.2	1203044	1203555	+	512	1349
STM1117	NC_003197.2	1203676	1204929	+	1254	3838
STM1118	NC_003197.2	1204963	1205203	-	241	434
STM1119	NC_003197.2	1205211	1205821	-	611	1919
STM1121	NC_003197.2	1206186	1206359	+	174	871
STM1122	NC_003197.2	1206483	1207134	+	652	1963
STM1123	NC_003197.2	1207131	1207533	-	403	955
STM1124	NC_003197.2	1207585	1211547	-	3963	12945
STM1125	NC_003197.2	1211904	1213477	+	1574	4961
STM1126	NC_003197.2	1214284	1215158	+	875	3096
STM1127	NC_003197.2	1215264	1216153	-	890	2921
STM1128	NC_003197.2	1216430	1217938	-	1509	5063
STM1129	NC_003197.2	1218263	1218949	-	687	2618
STM1130	NC_003197.2	1219449	1220609	+	1161	3339
STM1131	NC_003197.2	1220643	1221347	+	705	2147
STM1132	NC_003197.2	1221618	1222910	+	1293	3719
STM1133	NC_003197.2	1222913	1224027	+	1115	3395
STM1134	NC_003197.2	1224732	1224816	-	85	863
STM1135	NC_003197.2	1225044	1225993	+	950	3282
STM1136	NC_003197.2	1226065	1226814	+	750	2143
STM1137	NC_003197.2	1226824	1227392	+	569	1699
STM1138	NC_003197.2	1227445	1227975	+	531	1459
STM1139	NC_003197.2	1228014	1228860	-	847	2121
STM1140	NC_003197.2	1228874	1229302	-	429	959
STM1141	NC_003197.2	1229317	1229726	-	410	822
STM1142	NC_003197.2	1229717	1230380	-	664	1844
STM1143	NC_003197.2	1231000	1231577	+	578	1632
STM1144	NC_003197.2	1231605	1232074	+	470	1126
STM1145	NC_003197.2	1232127	1232462	+	336	1106
STM1146	NC_003197.2	1232582	1232913	+	332	911
STM1147	NC_003197.2	1232988	1233541	+	554	1390
STM1148	NC_003197.2	1233480	1234964	+	1485	3911
STM1149	NC_003197.2	1234981	1236153	-	1173	3557
STM1150	NC_003197.2	1236311	1237942	+	1632	4946
STM1151	NC_003197.2	1237935	1240478	+	2544	7107
STM1152	NC_003197.2	1240542	1240779	+	238	495
STM1153	NC_003197.2	1240780	1241167	-	388	961
STM1154	NC_003197.2	1241236	1242460	-	1225	3941
STM1155	NC_003197.2	1242605	1243535	-	931	3084
STM1156	NC_003197.2	1243730	1244797	+	1068	3355
STM1157	NC_003197.2	1244849	1245437	-	589	1566
STM1158	NC_003197.2	1245421	1246004	-	584	1687
STM1159	NC_003197.2	1246256	1246379	-	124	422
STM1160	NC_003197.2	1246410	1247537	-	1128	3771
STM1161	NC_003197.2	1247641	1247907	-	267	1031
STM1162	NC_003197.2	1248185	1248442	-	258	988
STM1163	NC_003197.2	1248504	1249628	-	1125	3311
STM1164	NC_003197.2	1249655	1250225	-	571	1734
STM1165	NC_003197.2	1250340	1250997	-	658	2244
STM1166	NC_003197.2	1251051	1252267	-	1217	4111
STM1167	NC_003197.2	1252476	1253080	+	605	1788
STM1168	NC_003197.2	1253097	1253763	+	667	1718
STM1169	NC_003197.2	1253752	1254688	+	937	3100
STM1170	NC_003197.2	1254942	1256527	+	1586	5082
STM1171	NC_003197.2	1256609	1257031	-	423	1192
STM1172	NC_003197.2	1257036	1257341	-	306	761
STM1173	NC_003197.2	1257421	1258094	-	674	2646
STM1174	NC_003197.2	1258229	1258653	+	425	1250
STM1175	NC_003197.2	1258643	1259061	+	419	823
STM1176	NC_003197.2	1259061	1259771	+	711	1842
STM1177	NC_003197.2	1259786	1261009	+	1224	3380
STM1178	NC_003197.2	1261017	1261785	+	769	2469
STM1179	NC_003197.2	1261788	1262581	+	794	2167
STM1180	NC_003197.2	1262630	1263334	+	705	1991
STM1181	NC_003197.2	1263337	1264443	+	1107	3020
STM1182	NC_003197.2	1264429	1265393	+	965	2630
STM1183	NC_003197.2	1265447	1267119	+	1673	4934
STM1184	NC_003197.2	1267119	1268087	+	969	2870
STM1185	NC_003197.2	1268344	1271547	-	3204	10467
STM1187	NC_003197.2	1272121	1273080	+	960	3697
STM1188	NC_003197.2	1273236	1273979	+	744	2712
STM1189	NC_003197.2	1274481	1275077	-	597	2274
STM1190	NC_003197.2	1275222	1275784	+	563	1768
STM1191	NC_003197.2	1275822	1276009	+	188	676
STM1192	NC_003197.2	1276126	1277222	+	1097	3413
STM1193	NC_003197.2	1277302	1278255	+	954	2779
STM1194	NC_003197.2	1278259	1279200	+	942	2560
STM1195	NC_003197.2	1279203	1279947	+	745	2267
STM1196	NC_003197.2	1280087	1280339	+	253	1105
STM1197	NC_003197.2	1280412	1281666	+	1255	4323
STM1198	NC_003197.2	1281779	1282599	+	821	1201
STM1199	NC_003197.2	1282602	1283624	+	1023	2727
STM1200	NC_003197.2	1283604	1284255	+	652	1626
STM1201	NC_003197.2	1284238	1285256	+	1019	2809
STM1202	NC_003197.2	1285257	1286064	+	808	2410
STM1203	NC_003197.2	1286342	1287792	+	1451	4648
STM1204	NC_003197.2	1287877	1290063	-	2187	7304
STM1205	NC_003197.2	1290381	1290752	+	372	1029
STM1206	NC_003197.2	1290742	1291129	+	388	727
STM1207	NC_003197.2	1291128	1291781	+	654	1352
STM1208	NC_003197.2	1291753	1292586	+	834	1927
STM1209	NC_003197.2	1292585	1293622	+	1038	2601
STM1210	NC_003197.2	1293636	1294189	+	554	1828
STM1211	NC_003197.2	1294327	1295748	+	1422	4907
STM1212	NC_003197.2	1295913	1296466	+	554	2128
STM1213	NC_003197.2	1296541	1297192	-	652	2262
STM1214	NC_003197.2	1297406	1297675	+	270	1133
STM1215	NC_003197.2	1297772	1298751	-	980	3119
STM1216	NC_003197.2	1298885	1302349	-	3465	11272
STM1217	NC_003197.2	1302558	1303868	+	1311	4122
STM1218	NC_003197.2	1303848	1304562	+	715	1715
STM1219	NC_003197.2	1304548	1305806	+	1259	3266
STM1220	NC_003197.2	1305824	1306746	+	923	2432
STM1221	NC_003197.2	1306756	1307586	+	831	2524
STM1222	NC_003197.2	1307668	1308727	-	1060	2975
STM1223	NC_003197.2	1308739	1309532	-	794	2512
STM1224	NC_003197.2	1309834	1310844	-	1011	3253
STM1225	NC_003197.2	1311173	1312052	-	880	2391
STM1226	NC_003197.2	1312020	1313156	-	1137	3563
STM1227	NC_003197.2	1313395	1314636	+	1242	3829
STM1228	NC_003197.2	1314636	1315974	+	1339	3693
STM1229	NC_003197.2	1316014	1317148	-	1135	3309
STM1230	NC_003197.2	1317216	1318679	-	1464	4137
STM1231	NC_003197.2	1318679	1319365	-	687	1919
STM1232	NC_003197.2	1319477	1320862	-	1386	3798
STM1233	NC_003197.2	1320851	1321550	-	700	1889
STM1234	NC_003197.2	1321579	1322739	-	1161	3131
STM1235	NC_003197.2	1322739	1323210	-	472	915
STM1236	NC_003197.2	1323212	1323549	-	338	569
STM1237	NC_003197.2	1323538	1324203	-	666	1515
STM1238	NC_003197.2	1324219	1325625	+	1407	4115
STM1239	NC_003197.2	1326065	1327197	+	1133	3691
STM1240	NC_003197.2	1328179	1328972	-	794	0
STM1241	NC_003197.2	1329456	1329702	-	247	1185
STM1242	NC_003197.2	1329886	1330411	-	526	1909
STM1243	NC_003197.2	1330822	1331045	-	224	946
STM1244	NC_003197.2	1331166	1331437	-	272	1154
STM1246	NC_003197.2	1332234	1332798	+	565	1991
STM1247	NC_003197.2	1333199	1333272	+	74	612
STM1249	NC_003197.2	1334035	1334385	-	351	1530
STM1250	NC_003197.2	1335077	1335354	+	278	1415
STM1251	NC_003197.2	1335498	1335973	+	476	1846
STM1252	NC_003197.2	1336306	1337355	+	1050	3202
STM1253	NC_003197.2	1337438	1337981	-	544	1747
STM1254	NC_003197.2	1338117	1338436	-	320	1341
STM1255	NC_003197.2	1339105	1340747	+	1643	4881
STM1256	NC_003197.2	1340741	1341721	+	981	2217
STM1257	NC_003197.2	1341704	1342523	+	820	2033
STM1258	NC_003197.2	1342510	1343314	+	805	1887
STM1259	NC_003197.2	1343301	1343898	+	598	1712
STM1260	NC_003197.2	1343980	1345119	-	1140	3623
STM1261	NC_003197.2	1345300	1345633	+	334	1013
STM1262	NC_003197.2	1345637	1345710	+	74	94
STM1263	NC_003197.2	1345815	1346477	+	663	2049
STM1264	NC_003197.2	1346579	1347374	+	796	2677
STM1265	NC_003197.2	1347512	1348112	+	601	1907
STM1266	NC_003197.2	1348176	1349029	+	854	2699
STM1267	NC_003197.2	1349284	1349542	-	259	979
STM1268	NC_003197.2	1349611	1349764	-	154	450
STM1269	NC_003197.2	1349836	1350388	+	553	1877
STM1270	NC_003197.2	1350570	1351223	+	654	2311
STM1271	NC_003197.2	1351385	1351758	+	374	1005
STM1272	NC_003197.2	1351745	1351943	+	199	497
STM1273	NC_003197.2	1352168	1352814	+	647	2196
STM1274	NC_003197.2	1353120	1353377	+	258	1222
STM1275	NC_003197.2	1353799	1354061	+	263	929
STM1276	NC_003197.2	1354125	1354441	+	317	683
STM1277	NC_003197.2	1354427	1354786	-	360	871
STM1278	NC_003197.2	1354893	1356094	-	1202	3851
STM1279	NC_003197.2	1356166	1356972	+	807	2275
STM1280	NC_003197.2	1356952	1357398	-	447	1282
STM1281	NC_003197.2	1357592	1357711	+	120	334
STM1282	NC_003197.2	1357708	1358240	-	533	1204
STM1283	NC_003197.2	1358276	1359786	-	1511	4292
STM1284	NC_003197.2	1360410	1361707	-	1298	4099
STM1285	NC_003197.2	1361819	1363767	-	1949	5783
STM1286	NC_003197.2	1364165	1364926	+	762	2517
STM1287	NC_003197.2	1365216	1366412	+	1197	3681
STM1288	NC_003197.2	1366503	1367366	+	864	2982
STM1289	NC_003197.2	1367465	1368361	-	897	3200
STM1290	NC_003197.2	1368684	1369691	-	1008	3457
STM1291	NC_003197.2	1369983	1370434	+	452	1353
STM1292	NC_003197.2	1370460	1370754	+	295	977
STM1293	NC_003197.2	1371106	1371774	-	669	1959
STM1294	NC_003197.2	1371789	1372822	-	1034	3324
STM1295	NC_003197.2	1372901	1374769	-	1869	5937
STM1296	NC_003197.2	1374917	1375482	+	566	1906
STM1297	NC_003197.2	1375588	1376643	+	1056	3318
STM1298	NC_003197.2	1376648	1378597	+	1950	5399
STM1299	NC_003197.2	1378627	1379985	-	1359	4419
STM1300	NC_003197.2	1380198	1380484	+	287	642
STM1301	NC_003197.2	1380444	1380860	-	417	898
STM1302	NC_003197.2	1380933	1381751	-	819	2781
STM1303	NC_003197.2	1382176	1383411	+	1236	3844
STM1304	NC_003197.2	1383392	1384436	+	1045	2659
STM1305	NC_003197.2	1384419	1385911	+	1493	4027
STM1306	NC_003197.2	1385900	1387251	+	1352	3600
STM1307	NC_003197.2	1387231	1388212	+	982	2852
STM1308	NC_003197.2	1388532	1389033	+	502	1596
STM1309	NC_003197.2	1389108	1390016	-	909	2867
STM1310	NC_003197.2	1390110	1390948	-	839	2823
STM1311	NC_003197.2	1391028	1391497	+	470	1450
STM1312	NC_003197.2	1391785	1392118	+	334	1158
STM1313	NC_003197.2	1392187	1393559	+	1373	3579
STM1314	NC_003197.2	1393599	1393957	+	359	722
STM1315	NC_003197.2	1393958	1394810	+	853	2321
STM1316	NC_003197.2	1394923	1396290	+	1368	3854
STM1317	NC_003197.2	1396293	1397061	+	769	1992
STM1318	NC_003197.2	1397105	1399372	-	2268	6389
STM1319	NC_003197.2	1399662	1399964	+	303	2336
STM1320	NC_003197.2	1400066	1401470	-	1405	4664
STM1321	NC_003197.2	1401594	1402193	-	600	2141
STM1322	NC_003197.2	1402331	1403013	-	683	2498
STM1323	NC_003197.2	1403137	1403684	+	548	1640
STM1324	NC_003197.2	1403727	1404602	-	876	2564
STM1325	NC_003197.2	1404694	1404994	-	301	1037
STM1326	NC_003197.2	1405081	1406025	-	945	2886
STM1327	NC_003197.2	1406287	1407060	+	774	2236
STM1328	NC_003197.2	1407109	1408075	-	967	2913
STM1329	NC_003197.2	1408204	1408525	+	322	822
STM1330	NC_003197.2	1408515	1409376	+	862	2405
STM1331	NC_003197.2	1409545	1409755	+	211	120
STM1332	NC_003197.2	1410078	1411306	-	1229	0
STM1333	NC_003197.2	1412182	1414121	+	1940	5820
STM1334	NC_003197.2	1414213	1414667	+	455	1364
STM1335	NC_003197.2	1414748	1414960	+	213	587
STM1336	NC_003197.2	1414998	1415367	+	370	1495
STM1337	NC_003197.2	1415659	1416652	+	994	2903
STM1338	NC_003197.2	1416656	1419055	+	2400	6248
STM1339	NC_003197.2	1418921	1419359	+	439	869
STM1340	NC_003197.2	1419553	1420542	+	990	3020
STM1341	NC_003197.2	1420622	1421185	+	564	1459
STM1342	NC_003197.2	1421185	1421934	+	750	1952
STM1343	NC_003197.2	1421996	1422475	+	480	1750
STM1344	NC_003197.2	1422781	1423502	+	722	2259
STM1345	NC_003197.2	1423553	1425006	+	1454	4104
STM1346	NC_003197.2	1425041	1425232	-	192	520
STM1347	NC_003197.2	1425389	1426471	-	1083	3438
STM1348	NC_003197.2	1426591	1427437	-	847	2736
STM1349	NC_003197.2	1427610	1430139	+	2530	7822
STM1350	NC_003197.2	1430181	1431833	-	1653	4999
STM1351	NC_003197.2	1431911	1432220	-	310	695
STM1352	NC_003197.2	1432201	1433501	-	1301	3582
STM1353	NC_003197.2	1433544	1434495	-	952	2369
STM1354	NC_003197.2	1434501	1435276	-	776	2310
STM1355	NC_003197.2	1435719	1436618	+	900	2738
STM1356	NC_003197.2	1436694	1437858	-	1165	3167
STM1357	NC_003197.2	1437859	1439412	-	1554	4811
STM1358	NC_003197.2	1439608	1440377	-	770	2247
STM1359	NC_003197.2	1440411	1441289	-	879	2552
STM1360	NC_003197.2	1441344	1442595	-	1252	3947
STM1361	NC_003197.2	1442943	1444162	-	1220	3956
STM1362	NC_003197.2	1444295	1444654	-	360	1415
STM1363	NC_003197.2	1444822	1444928	-	107	688
STM1364	NC_003197.2	1445112	1446246	-	1135	3799
STM1365	NC_003197.2	1446477	1449551	+	3075	9718
STM1366	NC_003197.2	1449534	1449958	+	425	879
STM1367	NC_003197.2	1450009	1450245	+	237	860
STM1368	NC_003197.2	1450533	1451885	-	1353	4544
STM1369	NC_003197.2	1452295	1452674	+	380	1241
STM1370	NC_003197.2	1452672	1454170	+	1499	3993
STM1371	NC_003197.2	1454176	1454933	+	758	1903
STM1372	NC_003197.2	1454895	1456179	+	1285	3604
STM1373	NC_003197.2	1456163	1457396	+	1234	3652
STM1374	NC_003197.2	1457401	1457825	+	425	1474
STM1375	NC_003197.2	1457967	1458981	+	1015	3659
STM1376	NC_003197.2	1459048	1459287	-	240	0
STM1377	NC_003197.2	1459370	1459619	-	250	1247
STM1378	NC_003197.2	1459917	1461452	-	1536	4893
STM1379	NC_003197.2	1461731	1463080	-	1350	4081
STM1380	NC_003197.2	1463096	1463992	-	897	2224
STM1381	NC_003197.2	1464048	1464792	-	745	1894
STM1382	NC_003197.2	1464797	1466030	-	1234	3700
STM1383	NC_003197.2	1466346	1469416	-	3071	9270
STM1384	NC_003197.2	1469401	1470431	-	1031	3004
STM1385	NC_003197.2	1470424	1471176	-	753	2364
STM1386	NC_003197.2	1471334	1473118	+	1785	5666
STM1387	NC_003197.2	1473088	1473713	+	626	1589
STM1388	NC_003197.2	1473792	1474023	+	232	866
STM1389	NC_003197.2	1474119	1475089	-	971	3467
STM1390	NC_003197.2	1475251	1475979	-	729	2933
STM1391	NC_003197.2	1476158	1476801	-	644	1888
STM1392	NC_003197.2	1476827	1479596	-	2770	8097
STM1393	NC_003197.2	1479990	1480391	+	402	1218
STM1394	NC_003197.2	1480387	1481886	+	1500	3783
STM1395	NC_003197.2	1481867	1483078	+	1212	3154
STM1396	NC_003197.2	1483080	1483328	+	249	819
STM1397	NC_003197.2	1483585	1483918	+	334	1001
STM1398	NC_003197.2	1483919	1484515	+	597	1293
STM1399	NC_003197.2	1484507	1484985	+	479	945
STM1400	NC_003197.2	1484980	1486442	+	1463	3965
STM1401	NC_003197.2	1486451	1487045	+	595	1411
STM1402	NC_003197.2	1487042	1487464	+	423	976
STM1403	NC_003197.2	1487516	1487950	+	435	991
STM1404	NC_003197.2	1487962	1488748	+	787	1821
STM1405	NC_003197.2	1488741	1489434	+	694	1753
STM1406	NC_003197.2	1489521	1489743	+	223	496
STM1407	NC_003197.2	1489778	1490011	+	234	400
STM1408	NC_003197.2	1490023	1490271	+	249	306
STM1409	NC_003197.2	1490262	1491017	+	756	1816
STM1410	NC_003197.2	1491035	1491583	+	549	1239
STM1411	NC_003197.2	1491574	1492254	+	681	1447
STM1412	NC_003197.2	1492216	1493236	+	1021	2508
STM1413	NC_003197.2	1493288	1493662	+	375	731
STM1414	NC_003197.2	1493640	1495692	+	2053	5325
STM1415	NC_003197.2	1495674	1496983	+	1310	3302
STM1416	NC_003197.2	1496986	1497363	+	378	587
STM1417	NC_003197.2	1497339	1497718	+	380	501
STM1418	NC_003197.2	1497692	1498667	+	976	2547
STM1419	NC_003197.2	1498732	1499382	+	651	1635
STM1420	NC_003197.2	1499375	1499645	+	271	296
STM1421	NC_003197.2	1499641	1500425	+	785	1743
STM1422	NC_003197.2	1500417	1501480	+	1064	2981
STM1423	NC_003197.2	1501631	1501704	-	74	226
STM1424	NC_003197.2	1501718	1501791	-	74	246
STM1425	NC_003197.2	1501953	1503337	-	1385	4477
STM1426	NC_003197.2	1503529	1504184	+	656	2004
STM1427	NC_003197.2	1504226	1505385	-	1160	3326
STM1428	NC_003197.2	1505664	1506880	-	1217	3884
STM1429	NC_003197.2	1506972	1507914	+	943	2578
STM1430	NC_003197.2	1507911	1509032	-	1122	3635
STM1431	NC_003197.2	1509404	1509998	-	595	2076
STM1432	NC_003197.2	1510112	1510966	-	855	3128
STM1433	NC_003197.2	1511254	1511615	+	362	1412
STM1434	NC_003197.2	1511693	1512340	-	648	2323
STM1435	NC_003197.2	1512441	1512861	-	421	1319
STM1436	NC_003197.2	1512917	1514025	-	1109	3522
STM1437	NC_003197.2	1514073	1514672	-	600	1712
STM1438	NC_003197.2	1514764	1515014	+	251	682
STM1439	NC_003197.2	1515053	1515961	+	909	2644
STM1440	NC_003197.2	1516033	1516562	+	530	1304
STM1441	NC_003197.2	1516538	1518583	-	2046	5603
STM1442	NC_003197.2	1518577	1519473	-	897	2059
STM1443	NC_003197.2	1519440	1519690	-	251	683
STM1444	NC_003197.2	1519865	1520311	+	447	1495
STM1445	NC_003197.2	1520359	1520840	-	482	1504
STM1446	NC_003197.2	1521087	1522219	+	1133	3741
STM1447	NC_003197.2	1522289	1522636	+	348	1018
STM1448	NC_003197.2	1522695	1523351	+	657	1983
STM1449	NC_003197.2	1523466	1524752	+	1287	3926
STM1450	NC_003197.2	1524801	1525672	+	872	2600
STM1451	NC_003197.2	1525731	1526348	-	618	1556
STM1452	NC_003197.2	1526441	1527955	-	1515	4719
STM1453	NC_003197.2	1528548	1529196	-	649	1975
STM1454	NC_003197.2	1529183	1529888	-	706	1559
STM1455	NC_003197.2	1529878	1530509	-	632	1405
STM1456	NC_003197.2	1530502	1531569	-	1068	2714
STM1457	NC_003197.2	1531561	1533778	-	2218	5804
STM1458	NC_003197.2	1533761	1534358	-	598	1363
STM1459	NC_003197.2	1534339	1534931	-	593	1557
STM1460	NC_003197.2	1534997	1535448	-	452	1378
STM1461	NC_003197.2	1535526	1535756	-	231	809
STM1462	NC_003197.2	1536297	1537412	+	1116	3593
STM1463	NC_003197.2	1537487	1538488	-	1002	3412
STM1466	NC_003197.2	1539192	1540713	-	1522	5080
STM1467	NC_003197.2	1540803	1541990	-	1188	3832
STM1468	NC_003197.2	1542178	1543824	+	1647	4990
STM1469	NC_003197.2	1543884	1545395	+	1512	4223
STM1470	NC_003197.2	1545392	1546321	-	930	2476
STM1471	NC_003197.2	1546397	1547711	-	1315	4152
STM1472	NC_003197.2	1547809	1549522	-	1714	5434
STM1473	NC_003197.2	1549668	1550813	-	1146	3607
STM1475	NC_003197.2	1551281	1552012	-	732	2619
STM1476	NC_003197.2	1552133	1552474	+	342	1209
STM1477	NC_003197.2	1552536	1553928	-	1393	4369
STM1478	NC_003197.2	1554217	1555174	-	958	3305
STM1479	NC_003197.2	1555562	1557217	+	1656	4916
STM1480	NC_003197.2	1557216	1558616	+	1401	4280
STM1481	NC_003197.2	1558791	1559836	-	1046	3106
STM1482	NC_003197.2	1560230	1560605	+	376	1112
STM1483	NC_003197.2	1560579	1560921	+	343	670
STM1484	NC_003197.2	1560961	1561782	-	822	2880
STM1485	NC_003197.2	1562051	1562346	-	296	1442
STM1486	NC_003197.2	1562694	1563958	-	1265	4348
STM1487	NC_003197.2	1564067	1564966	+	900	2988
STM1488	NC_003197.2	1565081	1566314	+	1234	4030
STM1489	NC_003197.2	1566428	1567135	+	708	1753
STM1490	NC_003197.2	1567091	1568380	-	1290	3697
STM1491	NC_003197.2	1568516	1569670	-	1155	3421
STM1492	NC_003197.2	1569664	1570318	-	655	1699
STM1493	NC_003197.2	1570321	1571230	-	910	2237
STM1494	NC_003197.2	1571252	1571968	-	717	2217
STM1495	NC_003197.2	1572267	1572881	-	615	1911
STM1496	NC_003197.2	1572924	1573794	-	871	2304
STM1497	NC_003197.2	1573783	1574412	-	630	1368
STM1498	NC_003197.2	1574411	1576846	-	2436	7296
STM1499	NC_003197.2	1576945	1579395	-	2451	7301
STM1500	NC_003197.2	1579540	1579857	-	318	1227
STM1501	NC_003197.2	1579943	1580662	+	720	2108
STM1502	NC_003197.2	1580703	1581274	-	572	1426
STM1503	NC_003197.2	1581299	1581652	-	354	1043
STM1504	NC_003197.2	1581793	1582119	+	327	1250
STM1505	NC_003197.2	1582230	1583455	+	1226	3585
STM1506	NC_003197.2	1583454	1584485	+	1032	2924
STM1507	NC_003197.2	1584539	1585516	+	978	3131
STM1508	NC_003197.2	1586051	1587528	+	1478	4923
STM1509	NC_003197.2	1587595	1587812	-	218	882
STM1510	NC_003197.2	1587979	1588673	-	695	2357
STM1511	NC_003197.2	1588795	1589554	-	760	2561
STM1512	NC_003197.2	1589668	1591722	+	2055	6725
STM1513	NC_003197.2	1592060	1592249	+	190	860
STM1514	NC_003197.2	1592369	1592911	-	543	2054
STM1515	NC_003197.2	1593312	1593715	+	404	1504
STM1516	NC_003197.2	1594407	1595602	-	1196	4158
STM1517	NC_003197.2	1595813	1596724	+	912	3367
STM1518	NC_003197.2	1596843	1597070	-	228	714
STM1519	NC_003197.2	1597087	1597540	-	454	759
STM1520	NC_003197.2	1597490	1598122	-	633	1412
STM1521	NC_003197.2	1598164	1598848	+	685	1750
STM1522	NC_003197.2	1598895	1600085	-	1191	3683
STM1523	NC_003197.2	1600201	1601082	-	882	2907
STM1524	NC_003197.2	1601166	1602564	+	1399	4512
STM1525	NC_003197.2	1602625	1603563	+	939	2436
STM1526	NC_003197.2	1603544	1603922	+	379	1137
STM1527	NC_003197.2	1604132	1605093	+	962	2897
STM1528	NC_003197.2	1605149	1605691	-	543	811
STM1529	NC_003197.2	1605534	1605866	+	333	535
STM1530	NC_003197.2	1606403	1607526	+	1124	3889
STM1531	NC_003197.2	1607667	1608015	-	349	1046
STM1532	NC_003197.2	1608021	1608914	-	894	2265
STM1533	NC_003197.2	1608896	1609963	-	1068	2578
STM1534	NC_003197.2	1609975	1610392	-	418	735
STM1535	NC_003197.2	1610382	1610685	-	304	470
STM1536	NC_003197.2	1610681	1611296	-	616	1490
STM1537	NC_003197.2	1611295	1612042	-	748	1751
STM1538	NC_003197.2	1611989	1613797	-	1809	4736
STM1539	NC_003197.2	1613794	1614902	-	1109	3399
STM1540	NC_003197.2	1615319	1616417	+	1099	3478
STM1541	NC_003197.2	1616457	1617254	+	798	2216
STM1542	NC_003197.2	1617313	1618344	-	1032	2901
STM1543	NC_003197.2	1618313	1619606	-	1294	3637
STM1544	NC_003197.2	1619776	1621332	-	1557	4934
STM1545	NC_003197.2	1621402	1622648	-	1247	3423
STM1546	NC_003197.2	1622633	1624152	-	1520	4049
STM1547	NC_003197.2	1624178	1624674	+	497	1608
STM1548	NC_003197.2	1624906	1625946	+	1041	3166
STM1549	NC_003197.2	1625998	1626399	-	402	957
STM1550	NC_003197.2	1626558	1626848	-	291	798
STM1551	NC_003197.2	1626832	1627088	-	257	613
STM1552	NC_003197.2	1627912	1628820	+	909	0
STM1554	NC_003197.2	1630398	1631871	-	1474	552
STM1555	NC_003197.2	1632123	1633130	+	1008	3589
STM1556	NC_003197.2	1633267	1634725	+	1459	4201
STM1557	NC_003197.2	1634727	1635940	+	1214	3456
STM1558	NC_003197.2	1636053	1638135	-	2083	6309
STM1559	NC_003197.2	1638185	1640719	-	2535	7194
STM1560	NC_003197.2	1640710	1642500	-	1791	4790
STM1561	NC_003197.2	1642623	1643414	-	792	2721
STM1562	NC_003197.2	1643551	1643894	-	344	1296
STM1563	NC_003197.2	1644230	1644674	-	445	1872
